graph_size;mst_size;avg_size;avg_steps;min_size
131;474;750.7738958888299;8.038077321281548;692
237;897;1401.1220639097378;10.458073819632258;1291
423;1201;1883.0197969101534;4.035598098108416;1791
343;1179;1788.527886279663;8.20722855677179;1672
380;1444;2215.8054469983076;7.38704413501311;2066
411;1180;1839.1827472047391;5.672531672170385;1742
395;1124;1758.4750305055209;8.956151976593972;1690
379;1151;1830.2928986877503;11.352007482319062;1728
436;1269;1944.3394676846763;4.022870397928836;1889
662;2240;3504.284509419965;5.752183350089891;3404
1083;3253;4838.802992934527;7.0497506553680624;4735
1483;4015;6175.55470390123;4.388500266838679;5999
1785;5541;8677.098651563412;7.763449520630874;8449
2086;5950;9056.932397930897;5.123405207517932;8864
2566;6956;10604.828163071643;3.98770518888015;10422
